It;T;Melhor;Corrente
1;5;32239;32239
2;5;32239;32239
3;5;32239;32239
4;5;32239;32239
5;5;32239;32239
6;5;32239;32239
7;5;32239;32239
8;5;32239;32239
9;5;32239;32239
10;5;32239;32239
11;5;32239;32239
12;5;32239;32239
13;5;32239;32239
14;5;32239;32239
15;5;32239;32239
16;5;32239;32239
17;5;32239;32239
18;5;32239;32239
19;5;32239;32239
20;5;32239;32239
21;5;32239;32239
22;5;32239;32239
23;5;32239;32239
24;5;32239;32239
25;5;32239;32239
26;5;32239;32239
27;5;32239;32239
28;5;32239;32239
29;5;32239;32239
30;5;32239;32239
31;5;32239;32239
32;5;32239;32239
33;5;32239;32239
34;5;32239;32239
35;5;32239;32239
36;5;32239;32239
37;5;32239;32239
38;5;32239;32239
39;5;32239;32239
40;5;32239;32239
41;5;32239;32239
42;5;32239;32239
43;5;32239;32239
44;5;32239;32239
45;5;32239;32239
46;5;32239;32239
47;5;32239;32239
48;5;32239;32239
49;5;32239;32239
50;5;32239;32239
51;5;32239;32239
52;5;32239;32239
53;5;32239;32239
54;5;32239;32239
55;5;32239;32239
56;5;32239;32239
57;5;32239;32239
58;5;32239;32239
59;5;32239;32239
60;5;32239;32239
61;5;32239;32239
62;5;32239;32239
63;5;32239;32239
64;5;32239;32239
65;5;32239;32239
66;5;32239;32239
67;5;32239;32239
68;5;32239;32239
69;5;32239;32239
70;5;32239;32239
71;5;32239;32239
72;5;32239;32239
73;5;32239;32239
74;5;32239;32239
75;5;32239;32239
76;5;32239;32239
77;5;32239;32239
78;5;32239;32239
79;5;32239;32239
80;5;32239;32239
81;5;32239;32239
82;5;32239;32239
83;5;32239;32239
84;5;32239;32239
85;5;32239;32239
86;5;32239;32239
87;5;32239;32239
88;5;32239;32239
89;5;32239;32239
90;5;32217;32217
91;5;32217;32217
92;5;32217;32217
93;5;32217;32217
94;5;32217;32217
95;5;32217;32217
96;5;32217;32217
97;5;32217;32217
98;5;32217;32217
99;5;32217;32217
100;5;32217;32217
101;5;32217;32217
102;5;32217;32217
103;5;32217;32217
104;5;32217;32217
105;5;32217;32217
106;5;32217;32217
107;5;32217;32217
108;5;32217;32217
109;5;32217;32217
110;5;32217;32217
111;5;32217;32217
112;5;32217;32217
113;5;32217;32217
114;5;32217;32217
115;5;32217;32217
116;5;32217;32217
117;5;32217;32217
118;5;32217;32217
119;5;32217;32217
120;5;32217;32217
121;5;32217;32217
122;5;32217;32217
123;5;32161;32161
124;5;32161;32161
125;5;32161;32161
126;5;32161;32161
127;5;32161;32161
128;5;32161;32161
129;5;32161;32173
130;5;32161;32173
131;5;32161;32173
132;5;32161;32173
133;5;32161;32173
134;5;32161;32173
135;5;32161;32173
136;5;32161;32173
137;5;32161;32173
138;5;32161;32173
139;5;32161;32173
140;5;32161;32173
141;5;32161;32173
142;5;32161;32173
143;5;32161;32173
144;5;32161;32173
145;5;32161;32173
146;5;32161;32173
147;5;32161;32173
148;5;32161;32173
149;5;32161;32173
150;5;32161;32173
151;5;32161;32173
152;5;32161;32173
153;5;32161;32173
154;5;32161;32173
155;5;32161;32173
156;5;32161;32173
157;5;32161;32173
158;5;32161;32173
159;5;32161;32173
160;5;32161;32173
161;5;32161;32173
162;5;32161;32173
163;5;32161;32173
164;5;32161;32173
165;5;32161;32173
166;5;32161;32173
167;5;32161;32173
168;5;32161;32173
169;5;32161;32173
170;5;32161;32173
171;5;32161;32173
172;5;32161;32173
173;5;32161;32173
174;5;32161;32173
175;5;32161;32173
176;5;32161;32173
177;5;32161;32173
178;5;32161;32173
179;5;32161;32173
180;5;32161;32173
181;5;32161;32173
182;5;32161;32173
183;5;32161;32173
184;5;32161;32173
185;5;32161;32173
186;5;32161;32173
187;5;32161;32173
188;5;32161;32173
189;5;32161;32173
190;5;32161;32173
191;5;32161;32173
192;5;32161;32173
193;5;32161;32173
194;5;32161;32173
195;5;32161;32173
196;5;32161;32173
197;5;32161;32173
198;5;32161;32173
199;5;32161;32173
200;5;32161;32173
201;5;32161;32173
202;5;32161;32173
203;5;32161;32173
204;5;32161;32173
205;5;32161;32173
206;5;32161;32173
207;5;32161;32173
208;5;32161;32173
209;5;32161;32173
210;5;32161;32173
211;5;32161;32173
212;5;32161;32173
213;5;32161;32173
214;5;32161;32173
215;5;32161;32173
216;5;32161;32173
217;5;32161;32173
218;5;32161;32173
219;5;32161;32173
220;5;32123;32123
221;5;32031;32031
222;5;32031;32031
223;5;32031;32031
224;5;32031;32031
225;5;32031;32031
226;5;32031;32031
227;5;32031;32031
228;5;32031;32031
229;5;32031;32031
230;5;32031;32031
231;5;32031;32031
232;5;32031;32031
233;5;32031;32031
234;5;32031;32031
235;5;32031;32031
236;5;32031;32031
237;5;32031;32031
238;5;32031;32031
239;5;32031;32031
240;5;32031;32031
241;5;32031;32031
242;5;32031;32031
243;5;32031;32031
244;5;32031;32031
245;5;32031;32031
246;5;32031;32031
247;5;32031;32031
248;5;32031;32031
249;5;32031;32031
250;5;32031;32031
251;5;32031;32031
252;5;32031;32031
253;5;32031;32031
254;5;32031;32031
255;5;32031;32031
256;5;32031;32031
257;5;32031;32031
258;5;32031;32031
259;5;32031;32031
260;5;32031;32031
261;5;32031;32031
262;5;32031;32031
263;5;32031;32031
264;5;32031;32031
265;5;32031;32031
266;5;32031;32031
267;5;32031;32031
268;5;32031;32031
269;5;32031;32031
270;5;32031;32031
271;5;32031;32031
272;5;32031;32031
273;5;32031;32031
274;5;32031;32031
275;5;32031;32031
276;5;32031;32031
277;5;32031;32031
278;5;32031;32031
279;5;32031;32031
280;5;32031;32031
281;5;32031;32031
