;6001-A[10];6002-A[10];6005-A[5];6006-A[40];6007-A[5];6016-A[4];6018-A[2];6019-A[40];6020-A[5];6023-A[10];6026-A[10];6029-A[20];6030-A[20];6033-A[20];6105-1 F[40];6105-2 F[50];6105-3 F[50];6105-4 F[50];6107-2 F[50];6134-F[57];6142-F[40];6145-2 F[40];6058[60];6016[50];6032[50];6096[50];6038[40];6005[50];6050[50];6058[50];6107-2[50];6131[50];6015[50];6053[50];6118[40];6093[50];V1;V2;V3;V4;
SEGT5;0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];
SEGT6;0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];
SEGN1;0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];10[40] [1_2];0[0];0[0];0[0];52[40] [1_4];0[0];0[0];73[30];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];107[30] [1_6];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];
SEGN2;0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];-1[0];0[0];0[0];0[0];-1[0];0[0];0[0];-1[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];-1[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];
SEGN3;0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];109[20];103[20] [1_8];0[0];18[40] [1_3];0[0];4[50] [1_2];0[0];97[40] [1_6];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];20[50] [1_4];0[0];7[50];0[0];0[0];0[0];0[0];0[0];0[0];0[0];
SEGN4;0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];-1[0];-1[0];0[0];-1[0];0[0];-1[0];0[0];-1[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];-1[0];0[0];-1[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];
SEGN5;0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];36[40] [1_6];0[0];0[0];0[0];28[50] [1_7];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];
SEGN6;0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];-1[0];0[0];0[0];0[0];-1[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];
TERM1;0[0];0[0];0[0];0[0];0[0];0[0];0[0];13[40] [1_2];0[0];0[0];0[0];0[0];0[0];0[0];99[40] [1_5];66[50] [1_7];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];50[50] [1_3];0[0];0[0];0[0];0[0];0[0];0[0];0[0];
TERM2;0[0];0[0];0[0];0[0];0[0];0[0];0[0];-1[0];0[0];0[0];0[0];0[0];0[0];0[0];-1[0];-1[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];-1[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];
TERM3;0[0];0[0];0[0];0[0];0[0];0[0];0[0];16[40] [1_3];0[0];0[0];0[0];0[0];0[0];0[0];64[40] [1_5];0[0];0[0];0[0];95[30] [1_7];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];77[50] [1_1];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];
TERM4;0[0];0[0];0[0];0[0];0[0];0[0];0[0];-1[0];0[0];0[0];0[0];0[0];0[0];0[0];-1[0];0[0];0[0];0[0];-1[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];-1[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];
TERM5;0[0];0[0];0[0];0[0];0[0];0[0];0[0];89[40] [1_3];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];32[50] [1_5];0[0];82[30] [1_7];0[0];0[0];0[0];91[60] [1_1];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];
TERM6;0[0];0[0];0[0];0[0];0[0];0[0];0[0];-1[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];-1[0];0[0];-1[0];0[0];0[0];0[0];-1[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];
TERT1;0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];
TERT2;0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];
TERT3;0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];
TERT4;0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];
TERT5;0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];
TERT6;0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];
TERN1;0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];83[30] [1_6];0[0];0[0];62[50] [1_4];0[0];0[0];0[0];0[0];46[60] [1_2];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];
TERN2;0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];-1[0];0[0];0[0];-1[0];0[0];0[0];0[0];0[0];-1[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];
TERN3;0[0];0[0];0[0];93[40];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];85[40] [1_2];0[0];0[0];0[0];30[50] [1_4];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];
TERN4;0[0];0[0];0[0];-1[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];-1[0];0[0];0[0];0[0];-1[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];
