It;T;Melhor;Corrente
319;5;391649;391649
320;5;391649;391649
321;5;391649;391649
322;5;391649;391649
323;5;391649;391649
324;5;391649;391649
325;5;391649;391649
326;5;391649;391649
327;5;391649;391649
328;5;391649;391649
329;5;391649;391649
330;5;391649;391649
331;5;391649;391649
332;5;391649;391649
333;5;391649;391649
334;5;391649;391649
335;5;391649;391649
336;5;391649;391649
337;5;391649;391649
338;5;391649;391649
339;5;391649;391649
340;5;391649;391649
341;5;391649;391649
342;5;391649;391649
343;5;391649;391649
344;5;391649;391649
345;5;391649;391649
346;5;391649;391649
347;5;391649;391649
348;5;391649;391649
349;5;391649;391649
350;5;391649;391649
351;5;391649;391649
352;5;391649;391649
353;5;391649;391649
354;5;391649;391649
355;5;391649;391649
356;5;391649;391649
357;5;391649;391649
358;5;391649;391649
359;5;391649;391649
360;5;391649;391649
361;5;391649;391649
362;5;391649;391649
363;5;391649;391649
364;5;391649;391649
365;5;391649;391649
366;5;391649;391649
367;5;391649;391649
368;5;391649;391649
369;5;391649;391649
370;5;391649;391649
371;5;391649;391649
372;5;391649;391649
373;5;391649;391649
374;5;391649;391649
375;5;391649;391649
376;5;391649;391649
377;5;391649;391649
378;5;391649;391649
379;5;391649;391649
380;5;391649;391649
381;5;391649;391649
382;5;391649;391649
383;5;391649;391649
384;5;391649;391649
385;5;391649;391649
386;5;391649;391649
387;5;391649;391649
388;5;391649;391649
389;5;391649;391649
390;5;391646;391646
391;5;391646;391646
392;5;391646;391646
393;5;391646;391649
394;5;391646;391649
395;5;391646;391649
396;5;391646;391649
397;5;391629;391629
398;5;391629;391629
399;5;391629;391629
400;5;391629;391629
401;5;391629;391629
402;5;391629;391629
403;5;391629;391629
404;5;391629;391629
405;5;391629;391629
406;5;391629;391629
407;5;391629;391629
408;5;391629;391629
409;5;391629;391629
410;5;391629;391629
411;5;391629;391629
412;5;391629;391629
413;5;391629;391629
414;5;391629;391629
415;5;391629;391629
416;5;391629;391629
417;5;391629;391629
418;5;391629;391629
419;5;391629;391629
420;5;391629;391629
421;5;391629;391629
422;5;391629;391629
423;5;391629;391629
424;5;391629;391629
425;5;391629;391629
426;5;391629;391629
427;5;391629;391629
428;5;391629;391629
429;5;391629;391629
430;5;391629;391629
431;5;391629;391629
432;5;391629;391629
433;5;391629;391629
434;5;391629;391629
435;5;391629;391629
436;5;391629;391629
437;5;391629;391629
438;5;391629;391629
439;5;391629;391629
440;5;391629;391629
441;5;391629;391629
442;5;391629;391629
443;5;391629;391629
444;5;391629;391629
445;5;391629;391629
446;5;391629;391629
447;5;391629;391629
448;5;391629;391629
449;5;391629;391629
450;5;391629;391629
451;5;391629;391629
452;5;391629;391629
453;5;391629;391629
454;5;391629;391629
455;5;391629;391629
456;5;391629;391629
457;5;391629;391629
458;5;391629;391629
459;5;391629;391629
460;5;391629;391629
461;5;391629;391629
462;5;391629;391629
463;5;391629;391629
464;5;391629;391629
465;5;391629;391629
466;5;391629;391629
467;5;391629;391629
468;5;391629;391629
469;5;391629;391629
470;5;391629;391629
471;5;391629;391629
472;5;391629;391629
473;5;391629;391629
474;5;391629;391629
475;5;391629;391629
476;5;391629;391629
477;5;391629;391629
478;5;391629;391629
479;5;391629;391629
480;5;391629;391629
481;5;391629;391629
482;5;391629;391629
483;5;391629;391629
484;5;391629;391629
485;5;391629;391629
486;5;391629;391629
487;5;391629;391629
488;5;391629;391629
489;5;391629;391629
490;5;391629;391629
491;5;391629;391629
492;5;391629;391629
