It;T;Melhor;Corrente
1;5;441733;441733
2;5;441733;441733
3;5;441733;441733
4;5;441733;441733
5;5;441733;441733
6;5;441733;441733
7;5;441733;441733
8;5;441733;441733
9;5;441733;441733
10;5;441733;441733
11;5;441733;441741
12;5;441733;441741
13;5;441733;441741
14;5;441733;441741
15;5;441733;441741
16;5;441733;441741
17;5;441733;441741
18;5;441733;441741
19;5;441733;441741
20;5;441733;441741
21;5;441733;441741
22;5;441733;441741
23;5;441733;441741
24;5;441733;441741
25;5;441733;441741
26;5;441733;441741
27;5;441733;441741
28;5;441733;441741
29;5;441733;441741
30;5;441733;441741
31;5;441733;441741
32;5;441733;441741
33;5;441733;441741
34;5;441733;441741
35;5;441733;441741
36;5;441733;441741
37;5;441733;441741
38;5;441733;441741
39;5;441733;441741
40;5;441733;441741
41;5;441733;441741
42;5;441733;441741
43;5;441733;441741
44;5;441733;441741
45;5;441733;441741
46;5;441733;441741
47;5;441733;441741
48;5;441733;441741
49;5;441733;441741
50;5;441733;441741
51;5;441733;441741
52;5;441733;441741
53;5;441733;441741
54;5;441733;441741
55;5;441733;441741
56;5;441733;441741
57;5;441733;441741
58;5;441733;441741
59;5;441733;441741
60;5;441733;441741
61;5;441733;441741
62;5;441733;441741
63;5;441733;441741
64;5;441733;441741
65;5;441733;441741
66;5;441733;441741
67;5;441733;441741
68;5;441733;441741
69;5;441733;441741
70;5;441733;441741
71;5;441733;441741
72;5;441733;441741
73;5;441733;441741
74;5;441733;441741
75;5;441733;441741
76;5;441733;441741
77;5;441733;441741
78;5;441733;441741
79;5;441733;441741
80;5;441733;441741
81;5;441733;441741
82;5;441733;441741
83;5;441733;441741
84;5;441733;441741
85;5;441733;441741
86;5;441733;441741
87;5;441733;441741
88;5;441733;441741
89;5;441733;441741
90;5;441691;441691
91;5;441691;441691
92;5;391683;391683
93;5;391683;391683
94;5;391683;391687
95;5;391683;391687
96;5;391683;391687
97;5;381767;381767
98;5;381767;381767
99;5;381767;381767
100;5;381767;381767
101;5;381767;381767
102;5;381767;381767
103;5;381767;381767
104;5;381767;381767
105;5;381767;381767
106;5;381767;381767
107;5;381767;381767
108;5;381767;381767
109;5;381767;381767
110;5;381767;381767
111;5;381767;381767
112;5;381767;381767
113;5;381767;381767
114;5;381767;381767
115;5;381767;381767
116;5;381767;381767
117;5;381767;381767
118;5;381767;381767
119;5;381767;381767
120;5;381767;381767
121;5;381767;381767
122;5;381767;381767
123;5;381767;381767
124;5;381767;381767
125;5;381767;381767
126;5;381767;381767
127;5;381767;381767
128;5;381767;381767
129;5;381767;381767
130;5;381767;381767
131;5;381767;381767
132;5;381767;381767
133;5;381767;381767
134;5;381767;381767
135;5;381767;381767
136;5;381767;381767
137;5;381767;381767
138;5;381767;381767
139;5;381767;381767
140;5;381767;381767
141;5;381767;381767
142;5;381767;381767
143;5;381767;381767
144;5;381767;381767
145;5;381767;381767
146;5;381767;381767
147;5;381767;381767
148;5;381767;381767
149;5;381767;381767
150;5;381767;381767
151;5;381767;381767
152;5;381767;381767
153;5;381767;381767
154;5;381767;381767
155;5;381767;381767
156;5;381767;381767
157;5;381767;381767
158;5;381767;381767
159;5;381767;381767
160;5;381767;381767
161;5;381767;381767
162;5;381767;381767
163;5;381767;381767
164;5;381767;381767
165;5;381767;381767
166;5;381767;381767
167;5;381767;381767
168;5;381767;381767
169;5;381767;381767
170;5;381767;381767
171;5;381767;381767
172;5;381767;381767
173;5;381767;381767
174;5;381767;381767
175;5;381767;381767
176;5;381767;381767
177;5;381767;381767
178;5;381767;381767
179;5;381767;381767
180;5;381767;381767
181;5;381767;381767
182;5;381767;381767
183;5;381767;381767
184;5;381767;381767
185;5;381767;381767
186;5;381767;381767
187;5;381767;381767
188;5;381767;381767
189;5;381767;381767
190;5;381767;381767
191;5;381767;381767
192;5;381767;381767
193;5;381767;381767
194;5;381767;381767
195;5;381767;381767
196;5;381767;381767
197;5;381767;381767
198;5;381767;381767
199;5;381767;381767
200;5;381767;381767
201;5;381767;381767
202;5;381767;381767
203;5;381767;381767
204;5;381767;381767
205;5;381767;381767
206;5;381767;381767
207;5;381767;381767
208;5;381767;381767
209;5;381767;381767
210;5;381767;381767
211;5;381767;381767
212;5;381767;381767
213;5;381767;381767
214;5;381767;381767
215;5;381767;381767
