I;T;Melhor;Media
1;5;32239;32239
2;5;32239;32239
3;5;32239;32239
4;5;32239;32239
5;5;32239;32239
6;5;32239;32239
7;5;32239;32239
8;5;32239;32239
9;5;32239;32239
10;5;32239;32239
11;5;32239;32239
12;5;32239;32239
13;5;32239;32239
14;5;32239;32239
15;5;32239;32239
16;5;32239;32239
17;5;32239;32239
18;5;32239;32239
19;5;32239;32239
20;5;32239;32239
21;5;32239;32239
22;5;32239;32239
23;5;32239;32239
24;5;32239;32239
25;5;32239;32239
26;5;32239;32239
27;5;32239;32239
28;5;32239;32239
29;5;32239;32239
30;5;32239;32239
31;5;32239;32239
32;5;32239;32239
33;5;32239;32239
34;5;32239;32239
35;5;32239;32239
36;5;32239;32239
37;5;32239;32239
38;5;32239;32239
39;5;32239;32239
40;5;32239;32239
41;5;32239;32239
42;5;32239;32239
43;5;32239;32239
44;5;32239;32239
45;5;32239;32239
46;5;32239;32239
47;5;32239;32239
48;5;32239;32239
49;5;32239;32239
50;5;32239;32239
51;5;32239;32239
52;5;32239;32239
53;5;32239;32239
54;5;32239;32239
55;5;32239;32239
56;5;32239;32239
57;5;32239;32239
58;5;32239;32239
59;5;32239;32239
60;5;32239;32239
61;5;32239;32239
62;5;32239;32239
63;5;32239;32239
64;5;32239;32239
65;5;32239;32239
66;5;32239;32239
67;5;32239;32239
68;5;32239;32239
69;5;32239;32239
70;5;32239;32239
71;5;32239;32239
72;5;32239;32239
73;5;32239;32239
74;5;32239;32239
75;5;32239;32239
76;5;32239;32239
77;5;32239;32239
78;5;32239;32239
79;5;32239;32239
80;5;32239;32239
81;5;32239;32239
82;5;32239;32239
83;5;32239;32239
84;5;32239;32239
85;5;32239;32239
86;5;32239;32239
87;5;32239;32239
88;5;32239;32239
89;5;32239;32239
90;5;32239;32239
91;5;32239;32235.666666667
92;5;32239;32235.666666667
93;5;32239;32235.666666667
94;5;32239;32235.666666667
95;5;32239;32232.333333333
96;5;32239;32232.333333333
97;5;32239;32232.333333333
98;5;32239;32232.333333333
99;5;32239;32232.333333333
100;5;32239;32232.333333333
101;5;32239;32232.333333333
102;5;32239;32232.333333333
103;5;32239;32232.333333333
104;5;32239;32232.333333333
105;5;32239;32232.333333333
106;5;32239;32232.333333333
107;5;32239;32232.333333333
108;5;32239;32232.333333333
109;5;32239;32232.333333333
110;5;32239;32232.333333333
111;5;32239;32232.333333333
112;5;32239;32232.333333333
113;5;32239;32232.333333333
114;5;32239;32232.333333333
115;5;32239;32232.333333333
116;5;32239;32232.333333333
117;5;32239;32232.333333333
118;5;32239;32232.333333333
119;5;32239;32232.333333333
120;5;32239;32232.333333333
121;5;32239;32232.333333333
122;5;32239;32232.333333333
123;5;32239;32232.333333333
124;5;32203;32220.333333333
125;5;32203;32220.333333333
126;5;32203;32220.333333333
127;5;32203;32220.333333333
128;5;32203;32220.333333333
129;5;32203;32220.333333333
130;5;32203;32220.333333333
131;5;32203;32220.333333333
132;5;32203;32220.333333333
133;5;32203;32220.333333333
134;5;32203;32220.333333333
135;5;32203;32220.333333333
136;5;32203;32220.333333333
137;5;32203;32220.333333333
138;5;32203;32220.333333333
139;5;32203;32220.333333333
140;5;32203;32220.333333333
141;5;32203;32220.333333333
142;5;32203;32220.333333333
143;5;32203;32220.333333333
144;5;32203;32220.333333333
145;5;32203;32220.333333333
146;5;32203;32220.333333333
147;5;32203;32220.333333333
148;5;32203;32220.333333333
149;5;32203;32220.333333333
150;5;32203;32220.333333333
151;5;32203;32220.333333333
152;5;32203;32220.333333333
153;5;32203;32220.333333333
154;5;32203;32220.333333333
155;5;32203;32220.333333333
156;5;32203;32220.333333333
157;5;32203;32220.333333333
158;5;32203;32220.333333333
159;5;32203;32220.333333333
160;5;32203;32220.333333333
161;5;32203;32220.333333333
162;5;32203;32220.333333333
163;5;32203;32220.333333333
164;5;32203;32220.333333333
165;5;32203;32220.333333333
166;5;32203;32220.333333333
167;5;32203;32220.333333333
168;5;32203;32220.333333333
169;5;32203;32220.333333333
170;5;32203;32220.333333333
171;5;32203;32220.333333333
172;5;32203;32220.333333333
173;5;32203;32220.333333333
174;5;32203;32220.333333333
175;5;32203;32220.333333333
176;5;32203;32220.333333333
177;5;32203;32220.333333333
178;5;32203;32220.333333333
179;5;32203;32220.333333333
180;5;32203;32220.333333333
181;5;32203;32220.333333333
182;5;32203;32220.333333333
183;5;32203;32220.333333333
184;5;32203;32220.333333333
185;5;32203;32220.333333333
186;5;32203;32217.333333333
187;5;32203;32217.333333333
188;5;32203;32217.333333333
189;5;32073;32174
190;5;32053;32167.333333333
191;5;32053;32167.333333333
192;5;32053;32167.333333333
193;5;32053;32167.333333333
194;5;32053;32167.333333333
195;5;32053;32167.333333333
196;5;32053;32167.333333333
197;5;32053;32167.333333333
198;5;32053;32167.333333333
199;5;32053;32167.333333333
200;5;32053;32167.333333333
201;5;32053;32167.333333333
202;5;32053;32167.333333333
203;5;32053;32167.333333333
204;5;32053;32167.333333333
205;5;32053;32167.333333333
206;5;32053;32167.333333333
207;5;32053;32167.333333333
208;5;32053;32167.333333333
209;5;32053;32167.333333333
210;5;32053;32167.333333333
211;5;32053;32167.333333333
212;5;32053;32167.333333333
213;5;32053;32167.333333333
214;5;32053;32167.333333333
215;5;32053;32167.333333333
216;5;32053;32167.333333333
217;5;32053;32167.333333333
218;5;32053;32167.333333333
219;5;32053;32167.333333333
220;5;32053;32167.333333333
221;5;32053;32167.333333333
222;5;32053;32167.333333333
223;5;32053;32167.333333333
224;5;32053;32167.333333333
225;5;32053;32167.333333333
226;5;32053;32167.333333333
227;5;32053;32167.333333333
