It;T;Melhor;Corrente
1;5;32239;32239
2;5;32239;32239
3;5;32239;32239
4;5;32239;32239
5;5;32239;32239
6;5;32239;32239
7;5;32239;32239
8;5;32239;32239
9;5;32239;32239
10;5;32239;32239
11;5;32239;32239
12;5;32239;32239
13;5;32239;32239
14;5;32239;32239
15;5;32239;32239
16;5;32239;32239
17;5;32239;32239
18;5;32239;32239
19;5;32239;32239
20;5;32239;32239
21;5;32239;32239
22;5;32239;32239
23;5;32239;32239
24;5;32239;32239
25;5;32239;32239
26;5;32239;32239
27;5;32239;32239
28;5;32239;32239
29;5;32239;32239
30;5;32239;32239
31;5;32239;32239
32;5;32239;32239
33;5;32239;32239
34;5;32239;32239
35;5;32239;32239
36;5;32239;32239
37;5;32239;32239
38;5;32239;32239
39;5;32239;32239
40;5;32239;32239
41;5;32239;32239
42;5;32239;32239
43;5;32239;32239
44;5;32239;32239
45;5;32239;32239
46;5;32239;32239
47;5;32239;32239
48;5;32239;32239
49;5;32239;32239
50;5;32239;32239
51;5;32239;32239
52;5;32239;32239
53;5;32239;32239
54;5;32239;32239
55;5;32239;32239
56;5;32239;32239
57;5;32239;32239
58;5;32239;32239
59;5;32239;32239
60;5;32239;32239
61;5;32239;32239
62;5;32239;32239
63;5;32239;32239
64;5;32239;32239
65;5;32239;32239
66;5;32239;32239
67;5;32239;32239
68;5;32239;32239
69;5;32239;32239
70;5;32239;32239
71;5;32239;32239
72;5;32239;32239
73;5;32239;32239
74;5;32239;32239
75;5;32239;32239
76;5;32239;32239
77;5;32239;32239
78;5;32239;32239
79;5;32239;32239
80;5;32239;32239
81;5;32239;32239
82;5;32239;32239
83;5;32239;32239
84;5;32239;32239
85;5;32239;32239
86;5;32239;32239
87;5;32239;32239
88;5;32239;32239
89;5;32239;32239
90;5;32239;32239
91;5;32239;32239
92;5;32239;32239
93;5;32239;32239
94;5;32239;32239
95;5;32239;32239
96;5;32239;32239
97;5;32239;32239
98;5;32239;32239
99;5;32239;32239
100;5;32239;32239
101;5;32239;32239
102;5;32239;32239
103;5;32239;32239
104;5;32239;32239
105;5;32239;32239
106;5;32239;32239
107;5;32239;32239
108;5;32239;32239
109;5;32239;32239
110;5;32239;32239
111;5;32239;32245
112;5;32239;32245
113;5;32239;32245
114;5;32239;32245
115;5;32239;32245
116;5;32239;32245
117;5;32239;32245
118;5;32239;32245
119;5;32239;32245
120;5;32239;32245
121;5;32239;32245
122;5;32239;32245
123;5;32239;32245
124;5;32203;32203
125;5;32203;32203
126;5;32203;32203
127;5;32203;32203
128;5;32203;32203
129;5;32203;32203
130;5;32203;32203
131;5;32203;32203
132;5;32203;32203
133;5;32203;32203
134;5;32203;32203
135;5;32203;32203
136;5;32203;32203
137;5;32203;32203
138;5;32203;32203
139;5;32203;32203
140;5;32203;32203
141;5;32203;32203
142;5;32203;32203
143;5;32203;32203
144;5;32203;32203
145;5;32203;32203
146;5;32203;32203
147;5;32203;32203
148;5;32203;32203
149;5;32203;32203
150;5;32203;32203
151;5;32203;32203
152;5;32203;32203
153;5;32203;32203
154;5;32203;32203
155;5;32203;32203
156;5;32203;32203
157;5;32203;32203
158;5;32203;32203
159;5;32203;32203
160;5;32203;32203
161;5;32203;32203
162;5;32203;32203
163;5;32203;32203
164;5;32203;32203
165;5;32203;32203
166;5;32203;32203
167;5;32203;32203
168;5;32203;32203
169;5;32203;32203
170;5;32203;32203
171;5;32203;32203
172;5;32203;32203
173;5;32203;32203
174;5;32203;32203
175;5;32203;32203
176;5;32203;32203
177;5;32203;32203
178;5;32203;32203
179;5;32203;32203
180;5;32203;32203
181;5;32203;32203
182;5;32203;32203
183;5;32203;32203
184;5;32203;32203
185;5;32203;32203
186;5;32203;32203
187;5;32203;32203
188;5;32203;32203
189;5;32073;32073
190;5;32053;32053
191;5;32053;32053
192;5;32053;32053
193;5;32053;32053
194;5;32053;32053
195;5;32053;32053
196;5;32053;32053
197;5;32053;32053
198;5;32053;32053
199;5;32053;32053
200;5;32053;32053
201;5;32053;32053
202;5;32053;32053
203;5;32053;32053
204;5;32053;32053
205;5;32053;32053
206;5;32053;32053
207;5;32053;32053
208;5;32053;32053
209;5;32053;32053
210;5;32053;32053
211;5;32053;32053
212;5;32053;32053
213;5;32053;32053
214;5;32053;32053
215;5;32053;32053
216;5;32053;32053
217;5;32053;32053
218;5;32053;32053
219;5;32053;32053
220;5;32053;32053
221;5;32053;32053
222;5;32053;32053
223;5;32053;32053
224;5;32053;32053
225;5;32053;32053
226;5;32053;32053
227;5;32053;32053
228;5;32053;32053
229;5;32053;32053
230;5;32053;32053
231;5;32053;32053
232;5;32053;32053
233;5;32053;32053
234;5;32053;32053
235;5;32053;32053
236;5;32053;32053
237;5;32053;32053
238;5;32053;32053
239;5;32053;32053
240;5;32053;32053
241;5;32053;32053
242;5;32053;32053
243;5;32053;32053
244;5;32053;32053
245;5;32053;32053
246;5;32053;32053
247;5;32053;32053
248;5;32053;32053
249;5;32053;32053
250;5;32053;32053
251;5;32053;32053
252;5;32053;32053
253;5;32053;32053
254;5;32053;32053
255;5;32053;32053
256;5;32053;32053
257;5;32053;32053
258;5;32053;32053
259;5;32053;32053
260;5;32053;32053
261;5;32053;32053
262;5;32053;32053
263;5;32053;32053
264;5;32053;32053
265;5;32053;32053
266;5;32053;32053
267;5;32053;32053
268;5;32051;32051
269;5;32051;32051
270;5;32051;32051
271;5;32051;32051
272;5;32051;32051
273;5;32051;32051
274;5;32051;32051
275;5;32051;32051
276;5;32051;32051
277;5;32051;32051
278;5;32051;32051
279;5;32051;32051
280;5;32051;32051
281;5;32051;32051
